id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23
58,80.0166666666667,85,180.016666666667,200.016666666667,220.016666666667,270.016666666667,340.033333333333,365.016666666667,430.016666666667,515.016666666667,570.016666666667,620.016666666667,820.016666666667,1020.03333333333,1060.03333333333,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,
63,0,385.033333333333,505.016666666667,970.033333333333,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,
65,435.016666666667,555.016666666667,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,
68,165.016666666667,315,450.016666666667,830.016666666667,,,,,,,,,,,,,,,,,,,
