id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23,birthtime_24,birthtime_25,birthtime_26,birthtime_27,birthtime_28,birthtime_29,birthtime_30
45,0,67.4666666666667,467.483333333333,727.5,830,,,,,,,,,,,,,,,,,,,,,,,,,
46,4.98333333333333,127.466666666667,184.983333333333,252.466666666667,382.466666666667,459.983333333333,524.983333333333,642.483333333333,712.5,,,,,,,,,,,,,,,,,,,,,
47,114.966666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,64.9666666666667,132.466666666667,204.966666666667,299.966666666667,394.966666666667,572.483333333333,682.5,725,765,775,,,,,,,,,,,,,,,,,,,,
49,17.4833333333333,92.4666666666667,159.966666666667,244.966666666667,272.466666666667,404.966666666667,602.483333333333,,,,,,,,,,,,,,,,,,,,,,,
50,42.4833333333333,124.966666666667,269.966666666667,352.466666666667,459.983333333333,549.983333333333,,,,,,,,,,,,,,,,,,,,,,,,
51,0,39.9833333333333,119.966666666667,174.966666666667,242.466666666667,314.966666666667,417.466666666667,650,,,,,,,,,,,,,,,,,,,,,,
52,89.9666666666667,152.466666666667,217.466666666667,274.966666666667,347.466666666667,409.966666666667,560,715,782.5,850,,,,,,,,,,,,,,,,,,,,
53,0,157.466666666667,179.966666666667,247.466666666667,332.466666666667,407.466666666667,499.983333333333,610,680,777.5,,,,,,,,,,,,,,,,,,,,
54,164.966666666667,312.466666666667,364.966666666667,449.983333333333,522.483333333333,597.483333333333,682.5,820,,,,,,,,,,,,,,,,,,,,,,
55,299.966666666667,422.466666666667,454.983333333333,534.983333333333,584.983333333333,,,,,,,,,,,,,,,,,,,,,,,,,
56,199.966666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
