id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23,birthtime_24
79,156.166666666667,306.2,421.183333333333,471.166666666667,,,,,,,,,,,,,,,,,,,,
80,1006.15,1236.16666666667,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,
82,911.15,986.166666666667,1011.16666666667,1111.13333333333,1136.13333333333,1276.15,,,,,,,,,,,,,,,,,,
83,16.1333333333333,81.1666666666667,196.2,1231.13333333333,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,
85,81.1666666666667,261.183333333333,286.2,926.15,1131.15,1191.15,1291.9,,,,,,,,,,,,,,,,,
86,711.166666666667,,,,,,,,,,,,,,,,,,,,,,,
87,286.2,591.15,1151.13333333333,1171.15,1176.13333333333,1281.16666666667,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,
89,206.183333333333,1051.15,1071.13333333333,1161.15,1281.16666666667,,,,,,,,,,,,,,,,,,,
90,1.15,,,,,,,,,,,,,,,,,,,,,,,
91,136.166666666667,231.2,331.183333333333,391.183333333333,396.166666666667,911.15,1061.15,1151.13333333333,1231.13333333333,1256.16666666667,,,,,,,,,,,,,,
92,61.2,91.1666666666667,436.166666666667,441.183333333333,486.166666666667,706.15,866.166666666667,1051.15,1091.15,1231.13333333333,1256.16666666667,,,,,,,,,,,,,
93,491.166666666667,516.166666666667,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,
95,931.15,1021.15,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,
97,1081.13333333333,1141.15,1241.15,1271.15,,,,,,,,,,,,,,,,,,,,
98,1071.13333333333,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,
100,6.13333333333333,136.166666666667,256.2,296.2,306.2,366.183333333333,451.166666666667,511.15,616.15,681.15,771.133333333333,941.166666666667,946.166666666667,,,,,,,,,,,
101,66.15,86.1333333333333,186.166666666667,451.166666666667,576.166666666667,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,
103,71.15,451.166666666667,966.116666666667,,,,,,,,,,,,,,,,,,,,,
104,1.15,161.15,166.166666666667,291.2,381.183333333333,421.183333333333,671.15,776.116666666667,911.15,991.15,,,,,,,,,,,,,,
105,916.166666666667,1226.13333333333,1236.16666666667,1256.16666666667,,,,,,,,,,,,,,,,,,,,
106,31.15,211.2,336.183333333333,421.183333333333,451.166666666667,486.166666666667,616.15,691.133333333333,1031.16666666667,1111.13333333333,1226.13333333333,1231.13333333333,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,
108,126.15,311.183333333333,341.166666666667,356.166666666667,451.166666666667,491.166666666667,646.233333333333,836.116666666667,,,,,,,,,,,,,,,,
109,1.15,41.15,61.2,96.15,321.183333333333,391.183333333333,461.166666666667,956.15,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,
111,106.3,126.3,241.35,311.316666666667,446.316666666667,521.3,1101.26666666667,1221.28333333333,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,
113,166.3,281.333333333333,431.316666666667,1041.3,1076.3,1126.3,1196.26666666667,1216.28333333333,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,
115,336.316666666667,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,
118,286.35,401.316666666667,421.316666666667,506.283333333333,,,,,,,,,,,,,,,,,,,,
119,226.35,231.35,591.3,801.266666666667,1201.3,,,,,,,,,,,,,,,,,,,
120,116.3,121.283333333333,256.333333333333,266.333333333333,276.35,301.333333333333,321.333333333333,426.333333333333,1006.3,,,,,,,,,,,,,,,
121,1066.3,,,,,,,,,,,,,,,,,,,,,,,
122,1041.3,1251.3,,,,,,,,,,,,,,,,,,,,,,
123,176.316666666667,231.35,261.333333333333,311.316666666667,431.316666666667,481.316666666667,586.3,911.3,1086.28333333333,1131.3,1161.28333333333,1181.3,1256.3,,,,,,,,,,,
124,1091.28333333333,1126.3,1146.28333333333,1186.28333333333,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,
127,1256.3,,,,,,,,,,,,,,,,,,,,,,,
128,136.316666666667,426.333333333333,441.316666666667,701.283333333333,921.316666666667,976.283333333333,991.283333333333,1056.28333333333,1071.26666666667,1201.3,1306.28333333333,,,,,,,,,,,,,
129,91.3,,,,,,,,,,,,,,,,,,,,,,,
130,1.28333333333333,931.3,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,
132,1221.28333333333,,,,,,,,,,,,,,,,,,,,,,,
133,1.28333333333333,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,
135,1.43333333333333,56.4833333333333,776.4,1081.41666666667,1116.43333333333,,,,,,,,,,,,,,,,,,,
136,1141.43333333333,1211.43333333333,,,,,,,,,,,,,,,,,,,,,,
137,391.466666666667,556.433333333333,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,
139,216.483333333333,246.483333333333,251.483333333333,616.433333333333,721.433333333333,771.416666666667,786.433333333333,836.4,921.45,931.433333333333,996.433333333333,1011.45,1081.41666666667,1116.43333333333,1256.45,,,,,,,,,
140,846.433333333333,956.45,1191.43333333333,,,,,,,,,,,,,,,,,,,,,
141,1.43333333333333,116.45,216.483333333333,311.466666666667,421.466666666667,851.45,966.416666666667,1051.43333333333,,,,,,,,,,,,,,,,
142,811.4,,,,,,,,,,,,,,,,,,,,,,,
143,416.466666666667,431.466666666667,996.433333333333,1101.41666666667,1221.43333333333,,,,,,,,,,,,,,,,,,,
144,111.433333333333,151.45,216.483333333333,241.483333333333,416.466666666667,496.45,686.433333333333,1171.43333333333,1206.41666666667,,,,,,,,,,,,,,,
145,281.483333333333,,,,,,,,,,,,,,,,,,,,,,,
146,61.4833333333333,96.4333333333333,406.466666666667,441.466666666667,1306.43333333333,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,
148,86.4333333333333,151.45,206.483333333333,221.5,426.466666666667,456.466666666667,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,
152,401.466666666667,1266.45,,,,,,,,,,,,,,,,,,,,,,
153,971.433333333333,,,,,,,,,,,,,,,,,,,,,,,
154,46.4333333333333,431.466666666667,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,
156,371.466666666667,,,,,,,,,,,,,,,,,,,,,,,
157,166.45,226.5,361.483333333333,636.433333333333,736.433333333333,841.433333333333,931.433333333333,976.433333333333,1081.41666666667,1176.41666666667,,,,,,,,,,,,,,
158,381.466666666667,446.466666666667,,,,,,,,,,,,,,,,,,,,,,
159,406.466666666667,501.433333333333,706.45,901.433333333333,1126.45,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,
161,51.4166666666667,451.45,901.433333333333,1091.43333333333,1196.41666666667,1211.43333333333,1261.45,,,,,,,,,,,,,,,,,
162,266.483333333333,361.483333333333,476.45,966.416666666667,1301.5,,,,,,,,,,,,,,,,,,,
163,96.4333333333333,141.45,321.466666666667,406.466666666667,511.433333333333,,,,,,,,,,,,,,,,,,,
164,101.416666666667,216.483333333333,376.466666666667,416.466666666667,1126.45,1156.41666666667,,,,,,,,,,,,,,,,,,
165,201.483333333333,321.466666666667,376.466666666667,396.466666666667,471.45,916.45,1036.43333333333,1196.41666666667,,,,,,,,,,,,,,,,
166,401.466666666667,1251.45,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,
169,25,215.016666666667,330,434.983333333333,779.966666666667,,,,,,,,,,,,,,,,,,,
170,75,150.016666666667,275.016666666667,364.983333333333,399.983333333333,434.983333333333,949.983333333333,999.983333333333,1030,1059.98333333333,1064.98333333333,,,,,,,,,,,,,
171,404.983333333333,964.983333333333,1024.98333333333,1044.98333333333,1154.96666666667,1184.96666666667,1284.96666666667,,,,,,,,,,,,,,,,,
172,60,135.016666666667,210.016666666667,314.983333333333,364.983333333333,434.983333333333,954.983333333333,1030,1054.98333333333,,,,,,,,,,,,,,,
173,60,110,185.016666666667,205,275.016666666667,364.983333333333,425,454.983333333333,944.983333333333,974.983333333333,1004.98333333333,1054.98333333333,1059.98333333333,1129.98333333333,1154.96666666667,1199.96666666667,1224.96666666667,,,,,,,
174,230.016666666667,270.016666666667,404.983333333333,999.983333333333,1039.98333333333,1269.96666666667,1274.96666666667,1290.75,1304.96666666667,,,,,,,,,,,,,,,
175,10,50,80,95,225.016666666667,295,369.983333333333,464.983333333333,949.983333333333,1034.98333333333,,,,,,,,,,,,,,
176,120,180.016666666667,265.016666666667,330,409.983333333333,959.983333333333,974.983333333333,1034.98333333333,1059.98333333333,1104.96666666667,1199.96666666667,1284.96666666667,,,,,,,,,,,,
177,80,150.016666666667,170,245.016666666667,309.983333333333,339.983333333333,394.983333333333,454.983333333333,584.966666666667,689.966666666667,959.983333333333,984.983333333333,994.983333333333,1024.98333333333,1054.98333333333,,,,,,,,,
178,45,130.016666666667,175.016666666667,210.016666666667,255.016666666667,270.016666666667,324.983333333333,334.983333333333,419.983333333333,974.983333333333,994.983333333333,1094.98333333333,1129.98333333333,1284.96666666667,,,,,,,,,,
179,160,419.983333333333,654.966666666667,959.983333333333,999.983333333333,1239.96666666667,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,
181,60,65,100,140,215.016666666667,255.016666666667,260.016666666667,295,299.983333333333,359.983333333333,474.983333333333,609.966666666667,634.966666666667,959.983333333333,994.983333333333,1119.96666666667,1159.96666666667,1209.98333333333,,,,,,
182,55,140,175.016666666667,210.016666666667,339.983333333333,344.983333333333,425,969.983333333333,1034.98333333333,1069.98333333333,1124.96666666667,1219.96666666667,,,,,,,,,,,,
183,0,35,85,185.016666666667,285.016666666667,299.983333333333,439.983333333333,974.983333333333,1069.98333333333,1154.96666666667,1199.96666666667,,,,,,,,,,,,,
184,0,65,145.016666666667,225.016666666667,309.983333333333,374.983333333333,419.983333333333,454.983333333333,954.983333333333,1024.98333333333,1044.98333333333,1064.98333333333,1089.98333333333,1094.98333333333,1179.96666666667,1219.96666666667,1254.96666666667,1290.75,1294.96666666667,,,,,
185,0,55,150.016666666667,170,215.016666666667,334.983333333333,349.983333333333,369.983333333333,444.983333333333,914.983333333333,1054.98333333333,,,,,,,,,,,,,
186,60,130.016666666667,160,230.016666666667,270.016666666667,334.983333333333,419.983333333333,425,544.966666666667,744.966666666667,809.966666666667,859.983333333333,969.983333333333,,,,,,,,,,,
187,75,115.016666666667,170,250.016666666667,295,314.983333333333,334.983333333333,964.983333333333,1014.98333333333,1064.98333333333,1154.96666666667,,,,,,,,,,,,,
188,0,90,190.016666666667,230.016666666667,260.016666666667,444.983333333333,449.983333333333,944.983333333333,979.983333333333,1034.98333333333,1109.96666666667,1234.96666666667,,,,,,,,,,,,
189,85,155.016666666667,175.016666666667,220.016666666667,285.016666666667,304.983333333333,359.983333333333,379.983333333333,439.983333333333,529.966666666667,654.966666666667,1039.98333333333,1099.96666666667,1119.96666666667,1154.96666666667,1214.96666666667,,,,,,,,
190,0,60,215.016666666667,265.016666666667,285.016666666667,314.983333333333,364.983333333333,374.983333333333,469.983333333333,524.983333333333,,,,,,,,,,,,,,
191,0,65,225.016666666667,295,364.983333333333,444.983333333333,479.983333333333,989.983333333333,1074.98333333333,1099.96666666667,1119.96666666667,1144.96666666667,1234.96666666667,1239.96666666667,,,,,,,,,,
192,50,135.016666666667,140,200.016666666667,280.016666666667,339.983333333333,349.983333333333,379.983333333333,429.983333333333,939.983333333333,974.983333333333,1019.98333333333,1044.98333333333,1064.98333333333,,,,,,,,,,
193,45,100,110,135.016666666667,180.016666666667,240.016666666667,285.016666666667,319.983333333333,324.983333333333,330,334.983333333333,374.983333333333,454.983333333333,569.966666666667,579.983333333333,639.966666666667,954.983333333333,969.983333333333,1034.98333333333,1099.96666666667,1134.96666666667,1224.96666666667,,
194,0,95,200.016666666667,275.016666666667,379.983333333333,429.983333333333,444.983333333333,699.966666666667,729.966666666667,854.983333333333,944.983333333333,1069.98333333333,1099.96666666667,1159.96666666667,1184.96666666667,,,,,,,,,
195,0,35,50,140,205,285.016666666667,319.983333333333,409.983333333333,419.983333333333,474.983333333333,564.966666666667,754.966666666667,804.966666666667,944.983333333333,949.983333333333,1009.98333333333,1014.98333333333,1039.98333333333,1104.96666666667,1174.96666666667,1199.96666666667,1234.96666666667,,
196,130.016666666667,135.016666666667,200.016666666667,275.016666666667,290.016666666667,389.983333333333,449.983333333333,479.983333333333,779.966666666667,934.983333333333,1044.98333333333,1049.98333333333,1114.96666666667,1194.96666666667,1279.96666666667,,,,,,,,,
197,65,145.016666666667,150.016666666667,215.016666666667,295,299.983333333333,354.983333333333,379.983333333333,449.983333333333,469.983333333333,964.983333333333,1054.98333333333,1124.96666666667,,,,,,,,,,,
198,50,55,215.016666666667,319.983333333333,344.983333333333,389.983333333333,404.983333333333,429.983333333333,524.983333333333,574.966666666667,619.966666666667,944.983333333333,1009.98333333333,1014.98333333333,1030,1059.98333333333,1169.96666666667,1204.96666666667,1219.96666666667,1244.96666666667,1279.96666666667,,,
199,0,130.016666666667,215.016666666667,299.983333333333,364.983333333333,384.983333333333,949.983333333333,,,,,,,,,,,,,,,,,
200,0,105,230.016666666667,290.016666666667,359.983333333333,384.983333333333,425,949.983333333333,954.983333333333,1044.98333333333,1069.98333333333,1119.96666666667,1304.96666666667,,,,,,,,,,,
201,60,150.016666666667,155.016666666667,210.016666666667,225.016666666667,285.016666666667,404.983333333333,474.983333333333,969.983333333333,1019.98333333333,1059.98333333333,1109.96666666667,1184.96666666667,1204.96666666667,1229.96666666667,,,,,,,,,
202,245.016666666667,309.983333333333,,,,,,,,,,,,,,,,,,,,,,
203,60,130.016666666667,190.016666666667,210.016666666667,285.016666666667,374.983333333333,439.983333333333,549.983333333333,949.983333333333,994.983333333333,999.983333333333,1030,1039.98333333333,1104.96666666667,1134.96666666667,1204.96666666667,,,,,,,,
204,45.15,70.15,215.166666666667,295.15,395.133333333333,455.133333333333,655.116666666667,920.133333333333,970.133333333333,1050.11666666667,,,,,,,,,,,,,,
205,1145.11666666667,,,,,,,,,,,,,,,,,,,,,,,
206,220.166666666667,355.133333333333,385.133333333333,395.133333333333,815.116666666667,1270.11666666667,,,,,,,,,,,,,,,,,,
207,15.1333333333333,55.1333333333333,115.15,140.15,145.15,230.166666666667,320.133333333333,380.133333333333,560.116666666667,600.116666666667,700.116666666667,950.133333333333,1005.11666666667,1115.11666666667,1225.11666666667,,,,,,,,,
